,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
1692,G109925,https://www.gem.wiki/Tanda_power_station,India,Uttar Pradesh,Unit 6,Tanda power station,660.0,2021.0,supercritical,operating,26.5891987,82.6003754,8409,39,4.3960358646564,2.04,10.8741140775029,10.787028097695412,10.48810045102616
1695,G109982,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 1,Tata Mundra Ultra Mega Power Project,800.0,2012.0,supercritical,operating,22.8158,69.5281,9250,30,4.67631704483643,3.7,11.110833690770844,11.004704717767536,10.576999381564478
1696,G109983,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 2,Tata Mundra Ultra Mega Power Project,800.0,2012.0,supercritical,operating,22.8158,69.5281,9250,30,4.67631704483643,3.7,11.110833690770844,11.004704717767536,10.576999381564478
1697,G109984,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 3,Tata Mundra Ultra Mega Power Project,800.0,2012.0,supercritical,operating,22.8158,69.5281,9250,30,4.67631704483643,3.7,11.110833690770844,11.004704717767536,10.576999381564478
1698,G109985,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 4,Tata Mundra Ultra Mega Power Project,800.0,2013.0,supercritical,operating,22.8158,69.5281,8409,31,4.67631704483643,3.7,11.110833690770844,11.004704717767536,10.576999381564478
1699,G109986,https://www.gem.wiki/Tata_Mundra_Ultra_Mega_Power_Project,India,Gujarat,Unit 5,Tata Mundra Ultra Mega Power Project,800.0,2013.0,supercritical,operating,22.8158,69.5281,8409,31,4.67631704483643,3.7,11.110833690770844,11.004704717767536,10.576999381564478
1727,G110182,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase I Unit 1,Tiroda Thermal Power Project,660.0,2012.0,supercritical,operating,21.4125018,79.9673098,9250,30,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1728,G110183,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase I Unit 2,Tiroda Thermal Power Project,660.0,2013.0,supercritical,operating,21.4125018,79.9673098,8409,31,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1729,G110184,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase II Unit 3,Tiroda Thermal Power Project,660.0,2013.0,supercritical,operating,21.4125018,79.9673098,8409,31,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1730,G110185,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase III Unit 4,Tiroda Thermal Power Project,660.0,2014.0,supercritical,operating,21.4125018,79.9673098,8409,32,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1731,G110186,https://www.gem.wiki/Tiroda_Thermal_Power_Project,India,Maharashtra,Phase III Unit 5,Tiroda Thermal Power Project,660.0,2014.0,supercritical,operating,21.4125018,79.9673098,8409,32,2.92075089973715,2.38,11.069025316128291,10.966584506121798,10.613269339490813
1771,G110429,https://www.gem.wiki/Udupi_power_station,India,Karnataka,Unit 1,Udupi power station,600.0,2010.0,supercritical,operating,13.1596,74.8002,9250,28,1.68902986179148,3.46,10.899021927334237,10.932571130009762,10.575282695927593
1772,G110430,https://www.gem.wiki/Udupi_power_station,India,Karnataka,Unit 2,Udupi power station,600.0,2011.0,supercritical,operating,13.1596,74.8002,9250,29,1.68902986179148,3.46,10.899021927334237,10.932571130009762,10.575282695927593
1851,G110712,https://www.gem.wiki/Wanakbori_Thermal_Power_Station,India,Gujarat,Unit 8,Wanakbori Thermal Power Station,800.0,2019.0,supercritical,operating,22.8801884,73.3649182,8409,37,4.09303353501502,3.7,11.110833690770844,11.004704717767536,10.576999381564478
1883,G111369,https://www.gem.wiki/Yermarus_power_station,India,Karnataka,Unit 1,Yermarus power station,800.0,2016.0,supercritical,operating,16.2952614,77.3561203,8409,34,1.88509606322304,3.46,10.760569990043956,10.725976838223772,10.519515788980899
1884,G111370,https://www.gem.wiki/Yermarus_power_station,India,Karnataka,Unit 2,Yermarus power station,800.0,2017.0,supercritical,operating,16.2952614,77.3561203,8409,35,1.88509606322304,3.46,10.760569990043956,10.725976838223772,10.519515788980899
