,Tracker ID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Capacity (MW),Year,Combustion technology,Status,Latitude,Longitude,Heat rate (Btu per kWh),Remaining plant lifetime (years),bws_score,coal_price,Predicted_HR_50.0,Predicted_HR_70.0,Predicted_HR_90.0
128,G100470,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 2 Unit 4,BALCO Korba power station,135.0,2006.0,subcritical,operating,22.3978019,82.7401642,11313,24,2.7491501281515,1.59,13.148412977022803,12.822683766809325,12.895118400571926
129,G100471,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 3 Unit 1,BALCO Korba power station,300.0,2015.0,subcritical,operating,22.3989968,82.7400112,9572,33,2.7491501281515,1.59,12.218523979641603,11.956694866800728,11.798425721105593
130,G100472,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 3 Unit 2,BALCO Korba power station,300.0,2016.0,subcritical,operating,22.3989968,82.7400112,9572,34,2.7491501281515,1.59,12.220756034728453,11.95308068045249,11.780686367338971
131,G100473,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 3 Unit 3,BALCO Korba power station,300.0,2013.0,subcritical,operating,22.3989968,82.7400112,9572,31,2.7491501281515,1.59,12.235917965150968,12.000156575628464,11.861319037354368
132,G100474,https://www.gem.wiki/BALCO_Korba_power_station,India,Chhattisgarh,Phase 3 Unit 4,BALCO Korba power station,300.0,2013.0,subcritical,operating,22.3989968,82.7400112,9572,31,2.7491501281515,1.59,12.235917965150968,12.000156575628464,11.861319037354368
133,G100486,https://www.gem.wiki/Ballarpur_Bilt_Power_power_station,India,Maharashtra,Unit 3,Ballarpur Bilt Power power station,40.0,2009.0,subcritical,operating,19.860468,79.3394384,11313,27,1.43725893939469,2.38,13.360297256574547,13.102553833975701,13.146394509635876
138,G100496,https://www.gem.wiki/Bandel_Thermal_Power_Station,India,West Bengal,Unit 2,Bandel Thermal Power Station,60.0,1965.0,subcritical,operating,22.9957456,88.4038154,12618,5,0.0,1.99,13.89583141659271,13.730468103447016,13.49880712528428
141,G100499,https://www.gem.wiki/Bandel_Thermal_Power_Station,India,West Bengal,Unit 5,Bandel Thermal Power Station,210.0,1982.0,subcritical,operating,22.9957456,88.4038154,12618,5,0.0,1.99,13.357545379016987,13.18993311433626,12.931461790662873
158,G100593,https://www.gem.wiki/Baradarha_power_station,India,Chhattisgarh,Unit 1,Baradarha power station,600.0,2014.0,subcritical,operating,21.9114358,83.1888628,8702,32,1.58139118801547,1.59,11.1288302040705,10.97289687421519,10.898088349639238
159,G100594,https://www.gem.wiki/Baradarha_power_station,India,Chhattisgarh,Unit 2,Baradarha power station,600.0,2015.0,subcritical,operating,21.9114358,83.1888628,8702,33,1.58139118801547,1.59,11.077315184599556,10.92488864136819,10.85674699571609
162,G100607,https://www.gem.wiki/Barauni_power_station,India,Bihar,Unit 6,Barauni power station,110.0,1983.0,subcritical,operating,25.3913756,86.0234883,12618,1,2.97652519250697,1.87,13.946720827617805,13.735637144337483,13.487721783008114
163,G100608,https://www.gem.wiki/Barauni_power_station,India,Bihar,Unit 7,Barauni power station,110.0,1985.0,subcritical,operating,25.3913756,86.0234883,12618,3,2.97652519250697,1.87,13.819620612896449,13.612806686533178,13.397470854369146
164,G100603,https://www.gem.wiki/Barauni_power_station,India,Bihar,Unit 8,Barauni power station,250.0,2018.0,subcritical,operating,25.3913756,86.0234883,10442,36,2.97652519250697,1.87,12.348006788730999,12.079751679132418,11.924683395889863
165,G100604,https://www.gem.wiki/Barauni_power_station,India,Bihar,Unit 9,Barauni power station,250.0,2021.0,subcritical,operating,25.3913756,86.0234883,10442,39,2.97652519250697,1.87,12.30746616734282,11.947400941464446,11.846079049914636
166,G100610,https://www.gem.wiki/Barbil_Jagannath_power_station,India,Odisha,Unit 1,Barbil Jagannath power station,30.0,2015.0,subcritical,operating,21.633,85.6,10442,33,0.884587956050596,1.66,13.203568271077275,12.918689148332229,12.847243069523275
179,G100628,https://www.gem.wiki/Barkhera_IPP_power_station,India,Uttar Pradesh,Unit 1,Barkhera IPP power station,45.0,2011.0,subcritical,operating,28.55,80.1,11313,29,5.0,2.04,13.326391706113782,12.992367661714201,12.995310485327462
180,G100629,https://www.gem.wiki/Barkhera_IPP_power_station,India,Uttar Pradesh,Unit 2,Barkhera IPP power station,45.0,2012.0,subcritical,operating,28.55,80.1,11313,30,5.0,2.04,13.308320695621944,12.9786602872048,13.027160336950795
181,G100649,https://www.gem.wiki/Barsingsar_Thermal_Power_Project,India,Rajasthan,Unit 1,Barsingsar Thermal Power Project,125.0,2010.0,subcritical,operating,27.845022,73.1994259,11313,28,4.55116995175648,2.8,13.234447625121687,12.93146875577713,12.94605338524516
182,G100650,https://www.gem.wiki/Barsingsar_Thermal_Power_Project,India,Rajasthan,Unit 2,Barsingsar Thermal Power Project,125.0,2011.0,subcritical,operating,27.845022,73.1994259,11313,29,4.55116995175648,2.8,13.231763035093559,12.926792881303461,12.928246167883922
186,G100720,https://www.gem.wiki/Bela_power_station,India,Maharashtra,Phase I,Bela power station,270.0,2013.0,subcritical,operating,20.80915,79.054892,10442,31,3.56604004401945,2.38,12.43588212543053,12.388299166811658,12.259947024089369
189,G100739,https://www.gem.wiki/Bellary_Thermal_Power_Station,India,Karnataka,Unit 1,Bellary Thermal Power Station,500.0,2007.0,subcritical,operating,15.19317384,76.7195034,9572,25,2.96625581567932,3.46,11.629560751920627,11.634656265648847,11.49837661482429
190,G100740,https://www.gem.wiki/Bellary_Thermal_Power_Station,India,Karnataka,Unit 2,Bellary Thermal Power Station,500.0,2012.0,subcritical,operating,15.19317384,76.7195034,9572,30,2.96625581567932,3.46,11.58167164079043,11.58794782679133,11.444148834394811
192,G100774,https://www.gem.wiki/Bhadradri_power_station,India,Telangana,Unit 1,Bhadradri power station,270.0,2020.0,subcritical,operating,18.0274884,80.7356452,10442,38,0.216344043831204,2.04,12.325402432712785,11.997630324567806,11.75900993729559
193,G100775,https://www.gem.wiki/Bhadradri_power_station,India,Telangana,Unit 2,Bhadradri power station,270.0,2020.0,subcritical,operating,18.0274884,80.7356452,10442,38,0.216344043831204,2.04,12.325402432712785,11.997630324567806,11.75900993729559
194,G100776,https://www.gem.wiki/Bhadradri_power_station,India,Telangana,Unit 3,Bhadradri power station,270.0,2021.0,subcritical,operating,18.0274884,80.7356452,10442,39,0.216344043831204,2.04,12.310282708998415,11.9857167706855,11.71806960159915
195,G100777,https://www.gem.wiki/Bhadradri_power_station,India,Telangana,Unit 4,Bhadradri power station,270.0,2022.0,subcritical,operating,18.0274884,80.7356452,10442,40,0.216344043831204,2.04,12.278167444863591,11.968526212182372,11.67015265282512
199,G100786,https://www.gem.wiki/Bhadreshwar_power_station_(OPG),India,Gujarat,Unit 1,Bhadreshwar power station (OPG),150.0,2015.0,subcritical,operating,22.896182,69.896263,10442,33,4.67631704483643,3.7,13.151603347321732,12.859153801715063,12.692615270102346
200,G100787,https://www.gem.wiki/Bhadreshwar_power_station_(OPG),India,Gujarat,Unit 2,Bhadreshwar power station (OPG),150.0,2015.0,subcritical,operating,22.896182,69.896263,10442,33,4.67631704483643,3.7,13.151603347321732,12.859153801715063,12.692615270102346
217,G100799,https://www.gem.wiki/Bhandhakhar_power_station,India,Chhattisgarh,,Bhandhakhar power station,300.0,2015.0,subcritical,operating,22.3409542,82.4306029,9572,33,3.43985463530556,1.59,12.218523979641603,11.956694866800728,11.798425721105593
235,G114797,https://www.gem.wiki/Bhigwan_Mill_power_station,India,Maharashtra,Unit 1,Bhigwan Mill power station,30.0,1997.0,subcritical,operating,18.242234,74.752554,12183,15,3.98330909479523,2.38,13.740857159090215,13.553706251941625,13.364152261353025
236,G100817,https://www.gem.wiki/Bhigwan_Mill_power_station,India,Maharashtra,Unit 2,Bhigwan Mill power station,30.0,2009.0,subcritical,operating,18.242234,74.752554,11313,27,3.98330909479523,2.38,13.360297256574547,13.102553833975701,13.146394509635876
237,G100818,https://www.gem.wiki/Bhilai_Steel_power_station,India,Chhattisgarh,Unit 2,Bhilai Steel power station,30.0,1982.0,subcritical,operating,21.184,81.4237,12618,5,4.79908587719454,1.59,13.947527227159432,13.748179781187842,13.441564139487053
