 year,Latitude,Longitude,Maximum Temperature
2020,28.5,88.5,30.0535
2020,28.5,89.5,26.5725
2020,28.5,90.5,29.0904
2020,28.5,91.5,36.9125
2020,28.5,92.5,37.1697
2020,28.5,93.5,37.3808
2020,28.5,94.5,37.3892
2020,28.5,95.5,37.3929
2020,28.5,96.5,37.3942
2020,28.5,97.5,37.3929
2020,29.5,67.5,
2020,29.5,68.5,44.57
2020,29.5,69.5,44.2882
2020,29.5,70.5,44.2949
2020,29.5,71.5,47.2222
2020,29.5,72.5,47.6364
2020,29.5,73.5,47.6393
2020,29.5,74.5,48.0712
2020,29.5,75.5,45.5838
2020,29.5,76.5,45.2413
2020,29.5,77.5,43.0172
2020,29.5,78.5,42.7729
2020,29.5,79.5,38.5533
2020,29.5,80.5,34.8886
2020,29.5,81.5,39.0808
2020,29.5,82.5,34.6525
2020,29.5,83.5,38.0708
2020,29.5,84.5,37.0992
2020,29.5,85.5,37.5566
2020,29.5,86.5,27.3521
2020,29.5,87.5,26.5485
2020,29.5,88.5,30.0654
2020,29.5,89.5,26.5686
2020,29.5,90.5,25.8618
2020,29.5,91.5,34.9628
2020,29.5,92.5,37.6278
2020,29.5,93.5,37.3826
2020,29.5,94.5,37.3869
2020,29.5,95.5,37.3898
2020,29.5,96.5,37.391
2020,29.5,97.5,37.3909
2020,30.5,67.5,
2020,30.5,68.5,
2020,30.5,69.5,44.2939
2020,30.5,70.5,42.869
2020,30.5,71.5,42.8609
2020,30.5,72.5,41.7507
2020,30.5,73.5,46.5407
2020,30.5,74.5,46.6671
2020,30.5,75.5,44.6754
2020,30.5,76.5,42.9905
2020,30.5,77.5,37.6868
2020,30.5,78.5,38.7923
2020,30.5,79.5,31.3808
2020,30.5,80.5,34.9942
2020,30.5,81.5,29.3624
2020,30.5,82.5,29.0304
2020,30.5,83.5,29.0917
2020,30.5,84.5,37.308
2020,30.5,85.5,33.2879
2020,30.5,86.5,27.8178
2020,30.5,87.5,26.5563
2020,30.5,88.5,26.5516
2020,30.5,89.5,26.5531
2020,30.5,90.5,25.8533
2020,30.5,91.5,35.11
2020,30.5,92.5,36.0116
2020,30.5,93.5,35.4299
2020,30.5,94.5,37.3855
2020,30.5,95.5,37.3875
2020,30.5,96.5,37.3886
2020,30.5,97.5,35.7323
2020,31.5,67.5,
2020,31.5,68.5,
2020,31.5,69.5,42.4221
2020,31.5,70.5,41.7167
2020,31.5,71.5,41.712
2020,31.5,72.5,41.6993
2020,31.5,73.5,45.3357
2020,31.5,74.5,43.8408
2020,31.5,75.5,43.1736
2020,31.5,76.5,32.6282
2020,31.5,77.5,31.8997
2020,31.5,78.5,32.983
2020,31.5,79.5,32.4435
2020,31.5,80.5,31.3917
2020,31.5,81.5,31.3583
2020,31.5,82.5,29.7602
2020,31.5,83.5,29.059
2020,31.5,84.5,
2020,31.5,85.5,
2020,31.5,86.5,
2020,31.5,87.5,
2020,31.5,88.5,23.8992
2020,31.5,89.5,
2020,31.5,90.5,
2020,31.5,91.5,
2020,31.5,92.5,35.8
2020,31.5,93.5,35.7344
2020,31.5,94.5,35.7339
2020,31.5,95.5,35.7334
2020,31.5,96.5,35.6774
2020,31.5,97.5,
2020,32.5,67.5,
2020,32.5,68.5,
2020,32.5,69.5,31.0476
2020,32.5,70.5,33.1137
2020,32.5,71.5,33.549
2020,32.5,72.5,33.6074
2020,32.5,73.5,35.9175
2020,32.5,74.5,42.852
2020,32.5,75.5,40.1001
2020,32.5,76.5,36.0646
2020,32.5,77.5,32.7939
2020,32.5,78.5,32.7559
2020,32.5,79.5,31.0424
2020,32.5,80.5,27.2444
2020,32.5,81.5,24.6689
2020,32.5,82.5,26.7656
2020,32.5,83.5,
2020,32.5,84.5,
2020,32.5,85.5,
2020,32.5,86.5,
2020,32.5,87.5,
2020,32.5,88.5,
2020,32.5,89.5,
2020,32.5,90.5,
2020,32.5,91.5,
2020,32.5,92.5,
2020,32.5,93.5,
2020,32.5,94.5,
2020,32.5,95.5,
2020,32.5,96.5,
2020,32.5,97.5,
